"Band","Song","Song Wirter","Lead Vocals","Guitar","Bass","Piano/Keyboard","Drums","Backup Vocals"
"Tina Keane","No Guarantees","Tina Keane","Tina Keane","Tina Keane","Tina Keane",,"Tina Keane","Tina Keane"
"Tina Keane","Coming Back for More","Tina Keane","Tina Keane","Tina Keane","Tina Keane",,"Tina Keane","Tina Keane"
"Tina Keane","Now I Understand","Tina Keane","Tina Keane","Tina Keane","Tina Keane",,"Tina Keane","Tina Keane"
"Tina Keane","Can't Stop Thinking","Tina Keane","Tina Keane","Tina Keane","Tina Keane",,"Tina Keane","Tina Keane"
"Tina Keane","Me Against You","Tina Keane","Tina Keane","Tina Keane","Tina Keane",,"Tina Keane","Tina Keane"
"Tina Keane","Moving Forward","Tina Keane","Tina Keane","Tina Keane","Tina Keane",,"Tina Keane","Tina Keane"
"Siren Song","Moving In Circles","Tina Keane","Laura Branco","Tina Keane","Gina Devito",,"Tracy Macrone","Gina Devito"
"Siren Song","How Am I to Blame","Tina Keane and Gina Devito","Laura Branco","Tina Keane","Gina Devito",,"Tracy Macrone","Gina Devito"
"Siren Song","Seasons Changing","Gina Devito","Laura Branco","Tina Keane","Gina Devito",,"Tracy Macrone","Gina Devito"
"Siren Song","Parallel Lines","Tina Keane and Jannet Perez","Jannet Perez","Tina Keane","Gina Devito",,,"Gina Devito"
"Siren Song","Shades of Blue","Tina Keane and Jannet Perez","Jannet Perez","Tina Keane","Gina Devito",,,"Gina Devito"
"Siren Song","We'll Never Know","Tina Keane and Jannet Perez","Laura Branco","Tina Keane","Gina Devito",,"Tracy Macrone","Gina Devito"
"Oh Mr. Grant!","She Sells Sanctuary","The Cult (cover)","Melanie Fallon","Tina Keane","Gina Devito","Gina Devito","Shaz North","Gina Devito"
"Oh Mr. Grant!","Run and Hide","Tina Keane and Gina Devito","Melanie Fallon","Tina Keane","Gina Devito",,"Tracy Macrone","Gina Devito"
"Oh Mr. Grant!","The Chosen One","Tina Keane","Melanie Fallon","Tina Keane","Gina Devito",,"Shaz North","Gina Devito"
"Oh Mr. Grant!","Let Me In","Tina Keane","Melanie Fallon","Tina Keane","Gina Devito",,"Shaz North","Gina Devito"
"Oh Mr. Grant!","Now I Understand","Tina Keane","Melanie Fallon","Tina Keane","Gina Devito",,"Shaz North","Gina Devito"
"Yellowfin","Bitter Bliss","Tina Keane","Stacy Lee Raddatz","Tina Keane","Scott Selig",,"Joey Hummel",
"Yellowfin","Hasty","Tina Keane","Stacy Lee Raddatz","Tina Keane","Scott Selig",,"Joey Hummel",
"Yellowfin","Slow","Tina Keane","Stacy Lee Raddatz","Tina Keane","Scott Selig",,"Joey Hummel",
"Yellowfin","Drive Cars",,"Stacy Lee Raddatz","Tina Keane","Scott Selig",,"Joey Hummel",
